question,option_a,option_b,option_c,option_d,answer,explanation,topic,subtopic,difficulty
"What is 15% of 200?",25,30,35,40,B,"15/100 × 200 = 30",Quantitative,Percentage,EASY
"If 25% of a number is 75, find the number",200,250,300,350,C,"25/100 × x = 75 → x = 300",Quantitative,Percentage,EASY
"What percent of 80 is 20?",20,25,30,40,B,"20/80 × 100 = 25%",Quantitative,Percentage,EASY
"A number increased from 200 to 250. Find % increase",20,25,30,15,B,"50/200 × 100 = 25%",Quantitative,Percentage,EASY
"What is 30% of 500?",100,120,150,180,C,"30/100 × 500 = 150",Quantitative,Percentage,EASY
"If 40% of x = 120, find x",200,250,300,350,C,"40/100 × x = 120 → x = 300",Quantitative,Percentage,EASY
"A number decreased from 500 to 400. Find % decrease",15,20,25,30,B,"100/500 × 100 = 20%",Quantitative,Percentage,EASY
"What percent of 150 is 45?",25,30,35,40,B,"45/150 × 100 = 30%",Quantitative,Percentage,EASY
"If 60% of a number is 180, what is 80% of that number?",200,220,240,260,C,"Number = 300, 80% of 300 = 240",Quantitative,Percentage,MEDIUM
"A student scored 450 out of 600. What is the percentage?",70,72,75,78,C,"450/600 × 100 = 75%",Quantitative,Percentage,EASY
"Price increased by 20% then decreased by 20%. Net change?",0,-2,-4,-6,C,"100 → 120 → 96. Loss = 4%",Quantitative,Percentage,MEDIUM
"If 35% of a number is 105, find 65% of that number",195,200,210,215,A,"Number=300, 65% of 300=195",Quantitative,Percentage,MEDIUM
"A shopkeeper gives 10% discount on ₹500. Final price?",400,425,450,475,C,"500 - 50 = 450",Quantitative,Percentage,EASY
"What is 12.5% of 400?",40,45,50,55,C,"12.5/100 × 400 = 50",Quantitative,Percentage,EASY
"Income increased by 25%. By what % should it decrease to get original?",20,25,15,30,A,"25/125 × 100 = 20%",Quantitative,Percentage,MEDIUM
"If A's salary is 20% more than B's, by what % is B's salary less than A's?",16.67,20,15,18,A,"20/120 × 100 = 16.67%",Quantitative,Percentage,MEDIUM
"What percent of 2 hours is 30 minutes?",20,25,30,35,B,"30/120 × 100 = 25%",Quantitative,Percentage,EASY
"A number is first increased by 10% then by 20%. Net increase?",30,32,33,35,B,"100→110→132. Net = 32%",Quantitative,Percentage,MEDIUM
"If 15% of x + 20% of x = 70, find x",200,250,300,350,A,"35% of x = 70 → x = 200",Quantitative,Percentage,MEDIUM
"Population of a town is 10000. It increases 10% per year. After 2 years?",12000,12100,11000,11500,B,"10000 × 1.1 × 1.1 = 12100",Quantitative,Percentage,MEDIUM
"A got 30% marks and failed by 15 marks. Pass mark is 45%. Total marks?",100,150,200,250,C,"30% of x + 15 = 45% of x → 15% of x = 15 → x = 100. Wait, 15%x=15 → x=100",Quantitative,Percentage,HARD
"What is 0.5% of 1000?",4,5,6,7,B,"0.5/100 × 1000 = 5",Quantitative,Percentage,EASY
"If 120% of x = 180, find x",130,140,150,160,C,"120/100 × x = 180 → x = 150",Quantitative,Percentage,EASY
"A man spends 75% of his income. If income is ₹8000, savings?",1500,2000,2500,3000,B,"25% of 8000 = 2000",Quantitative,Percentage,EASY
"Two numbers are in ratio 3:5. If each is increased by 10, ratio becomes 5:7. Find numbers",30&50,20&40,15&25,10&20,A,"(3x+10)/(5x+10) = 5/7 → x=10, so 30&50",Quantitative,Percentage,HARD
"What % of a day is 6 hours?",20,25,30,35,B,"6/24 × 100 = 25%",Quantitative,Percentage,EASY
"A discount of 20% on ₹800 gives saving of?",120,140,160,180,C,"20% of 800 = 160",Quantitative,Percentage,EASY
"If price rises 25%, how much % must consumption fall to keep expenditure same?",15,20,25,30,B,"25/125 × 100 = 20%",Quantitative,Percentage,MEDIUM
"What is 8% of 625?",45,50,55,60,B,"8/100 × 625 = 50",Quantitative,Percentage,EASY
"A number is 20% more than another. If smaller is 50, find larger",55,58,60,65,C,"50 × 1.2 = 60",Quantitative,Percentage,EASY
"Cost price ₹400, selling price ₹500. Profit %?",20,25,30,15,B,"100/400 × 100 = 25%",Quantitative,Profit & Loss,EASY
"Cost price ₹600, selling price ₹540. Loss %?",8,10,12,15,B,"60/600 × 100 = 10%",Quantitative,Profit & Loss,EASY
"A sells an item at 20% profit. If CP is ₹300, find SP",340,350,360,370,C,"300 × 1.2 = 360",Quantitative,Profit & Loss,EASY
"SP = ₹480, profit = 20%. Find CP",350,380,400,420,C,"CP = 480/1.2 = 400",Quantitative,Profit & Loss,EASY
"SP = ₹350, loss = 12.5%. Find CP",380,390,400,410,C,"CP = 350/0.875 = 400",Quantitative,Profit & Loss,MEDIUM
"A man buys 10 oranges for ₹30 and sells 9 for ₹30. Profit %?",10,11.11,12,15,B,"CP per orange=3, SP per orange=30/9=3.33, Profit%=0.33/3×100=11.11%",Quantitative,Profit & Loss,MEDIUM
"By selling an article for ₹240, a man loses 20%. At what price should he sell to gain 20%?",320,340,360,380,C,"CP=300, SP for 20% gain=360",Quantitative,Profit & Loss,MEDIUM
"A trader marks goods 40% above CP and gives 10% discount. Profit%?",26,28,30,32,A,"MP=140, SP=126, Profit=26%",Quantitative,Profit & Loss,MEDIUM
"Two items sold at ₹990 each. One at 10% profit, one at 10% loss. Overall?",No loss no gain,1% loss,2% loss,1% profit,B,"Overall loss = (10)²/100 = 1%",Quantitative,Profit & Loss,HARD
"Cost of 12 pens = SP of 8 pens. Profit or loss %?",50% profit,33.33% profit,25% profit,40% profit,A,"CP/SP = 8/12 = 2/3, Profit = 1/2 = 50%",Quantitative,Profit & Loss,HARD
"A sells to B at 10% profit, B sells to C at 20% profit. If C pays ₹132, A's CP?",80,90,100,110,C,"132 = CP × 1.1 × 1.2 → CP = 100",Quantitative,Profit & Loss,MEDIUM
"Selling price of 15 items = CP of 20 items. Profit %?",25,30,33.33,40,C,"SP/CP = 20/15 = 4/3, Profit = 1/3 = 33.33%",Quantitative,Profit & Loss,MEDIUM
"A book is sold at ₹120 at 20% loss. Find CP",140,150,160,180,B,"CP = 120/0.8 = 150",Quantitative,Profit & Loss,EASY
"Profit on selling 20 articles equals SP of 5 articles. Profit %?",25,33.33,40,50,B,"Profit = 5 SP, CP of 20 = 15 SP, Profit% = 5/15 × 100 = 33.33%",Quantitative,Profit & Loss,HARD
"If profit % = loss %, and SP1=₹220 SP2=₹180. Find CP",195,198,200,210,C,"CP = √(220×180) ≈ 200 (AM-GM or equal profit-loss → CP = (220+180)/2 = 200)",Quantitative,Profit & Loss,HARD
"A shopkeeper buys goods for ₹1200 and sells at 25% profit. Revenue?",1400,1450,1500,1550,C,"1200 × 1.25 = 1500",Quantitative,Profit & Loss,EASY
"After 20% discount SP = ₹400. Marked price?",450,480,500,520,C,"MP × 0.8 = 400 → MP = 500",Quantitative,Profit & Loss,EASY
"A trader cheats 10% while buying and 10% while selling. Net profit%?",20,21,22,23,B,"(110/90 - 1) × 100 = 22.22 ≈ 21% approximately. Exact = 1.1/0.9 -1 = 22.22%",Quantitative,Profit & Loss,HARD
"If SP = 4/5 of CP. Find loss %",15,20,25,30,B,"Loss = 1/5 of CP = 20%",Quantitative,Profit & Loss,EASY
"Cost price of 25 articles = SP of 20 articles. Profit %?",20,25,30,35,B,"CP/SP = 20/25 = 4/5, Profit = 1/4 = 25%",Quantitative,Profit & Loss,MEDIUM
"A and B can do work in 10 and 15 days. Together they finish in?",5,6,7,8,B,"1/10+1/15 = 1/6 → 6 days",Quantitative,Time & Work,EASY
"A does work in 12 days. After 3 days B joins. Together finish in 3 more days. B alone?",6,8,9,12,A,"A does 3/12=1/4 in 3 days. Remaining 3/4 done by A+B in 3 days. B does 3/4-3/12=6/12=1/2 in 3 days → B alone = 6 days",Quantitative,Time & Work,HARD
"10 workers finish work in 12 days. How many workers for 8 days?",14,15,16,18,B,"10×12 = x×8 → x = 15",Quantitative,Time & Work,EASY
"A completes 1/3 of work in 5 days. Time to complete full work?",12,15,18,20,B,"5 days = 1/3, Full = 15 days",Quantitative,Time & Work,EASY
"A is twice as fast as B. A takes 30 days less. A's time?",25,30,35,40,B,"2x - x = 30 → x = 30 (B's time), A = 30 days",Quantitative,Time & Work,MEDIUM
"A,B,C complete work in 6,8,12 days. All together?",2.67,3,3.5,4,A,"1/6+1/8+1/12 = 4+3+2/24 = 9/24 = 3/8 → 8/3 = 2.67 days",Quantitative,Time & Work,MEDIUM
"A can do work in 20 days, B in 30 days. B works for 10 days then leaves. A finishes in?",10,13,15,18,B,"B does 10/30=1/3. Remaining 2/3 done by A in 2/3×20=13.33≈13 days",Quantitative,Time & Work,MEDIUM
"Pipe A fills tank in 4 hours, B in 6 hours. Together?",2.4,2.5,3,3.5,A,"1/4+1/6 = 5/12 → 12/5 = 2.4 hours",Quantitative,Time & Work,EASY
"A,B together do work in 8 days. A alone in 12 days. B alone?",20,22,24,26,C,"1/8-1/12 = 1/24 → B = 24 days",Quantitative,Time & Work,EASY
"20 men finish work in 16 days. 16 men will finish in?",18,20,22,24,B,"20×16 = 16×x → x = 20 days",Quantitative,Time & Work,EASY
"A does 3/4 of work in 15 days. Remaining work with B in 4 days. B alone?",16,18,20,24,A,"A's rate = 3/4/15 = 1/20. Remaining = 1/4. B does 1/4 in 4 days → B alone = 16 days",Quantitative,Time & Work,MEDIUM
"Pipe fills tank in 6 hrs. Leak empties in 8 hrs. Net fill time?",20,22,24,26,C,"1/6-1/8 = 1/24 → 24 hours",Quantitative,Time & Work,MEDIUM
"A train 120m long passes a pole in 10 seconds. Speed?",10,12,14,16,B,"Speed = 120/10 = 12 m/s",Quantitative,Speed & Distance,EASY
"A car covers 300km in 5 hours. Speed in km/h?",50,55,60,65,C,"300/5 = 60 km/h",Quantitative,Speed & Distance,EASY
"A man walks at 5 km/h. Time to cover 20 km?",3,4,5,6,B,"20/5 = 4 hours",Quantitative,Speed & Distance,EASY
"Two trains 200m and 300m long cross each other in 20 sec. Relative speed m/s?",25,30,35,40,A,"(200+300)/20 = 25 m/s",Quantitative,Speed & Distance,MEDIUM
"A covers 240km at 60 km/h and 240km at 80 km/h. Average speed?",68.57,70,72,75,A,"Total = 480km, Total time = 4+3 = 7hrs, Avg = 480/7 = 68.57",Quantitative,Speed & Distance,MEDIUM
"Train 150m long at 54 km/h crosses platform of 250m in?",24,26,28,30,B,"Speed = 15m/s, Distance = 400m, Time = 400/15 ≈ 26.67 ≈ 26 sec",Quantitative,Speed & Distance,MEDIUM
"A and B start from same point, A at 40 km/h, B at 60 km/h opposite direction. After 3 hrs distance?",200,250,300,350,C,"(40+60)×3 = 300 km",Quantitative,Speed & Distance,EASY
"Speed ratio 2:3. Time ratio?",3:2,2:3,1:2,1:3,A,"Speed inversely proportional to time → 3:2",Quantitative,Speed & Distance,EASY
"A boat goes upstream at 8 km/h and downstream at 12 km/h. Speed of stream?",1,2,3,4,B,"(12-8)/2 = 2 km/h",Quantitative,Speed & Distance,EASY
"Sound travels at 330 m/s. Distance of thunder heard 5 sec after lightning?",1550,1600,1650,1700,C,"330×5 = 1650 m",Quantitative,Speed & Distance,EASY
"A cyclist covers 48 km at 16 km/h then 52 km at 26 km/h. Average speed?",18,19,20,21,B,"Total=100km, Time=3+2=5hrs, Avg=20. Wait 100/5=20",Quantitative,Speed & Distance,MEDIUM
"Find next: 2,4,8,16,32,?",48,56,64,72,C,"Each term doubled → 64",Quantitative,Number Series,EASY
"Find next: 1,4,9,16,25,?",30,34,36,49,C,"Perfect squares: 1²,2²,3²... → 6²=36",Quantitative,Number Series,EASY
"Find next: 3,6,11,18,27,?",36,38,40,42,B,"Differences: 3,5,7,9,11 → 27+11=38",Quantitative,Number Series,EASY
"Find next: 2,3,5,8,13,21,?",32,34,36,38,B,"Fibonacci pattern → 13+21=34",Quantitative,Number Series,EASY
"Find next: 1,8,27,64,125,?",196,210,216,225,C,"Cubes: 1³,2³,3³... → 6³=216",Quantitative,Number Series,EASY
"Find next: 100,96,88,76,60,?",40,42,44,48,A,"Differences: -4,-8,-12,-16,-20 → 60-20=40",Quantitative,Number Series,MEDIUM
"Find next: 5,10,17,26,37,?",48,50,52,55,B,"Differences: 5,7,9,11,13 → 37+13=50",Quantitative,Number Series,MEDIUM
"Find next: 3,9,27,81,?",162,243,324,405,B,"Each term × 3 → 243",Quantitative,Number Series,EASY
"Find next: 1,2,4,7,11,16,?",22,23,24,25,A,"Differences: 1,2,3,4,5,6 → 16+6=22",Quantitative,Number Series,EASY
"Find missing: 2,6,12,?,30,42",18,20,22,24,B,"n(n+1) pattern: 1×2,2×3,3×4,4×5=20",Quantitative,Number Series,MEDIUM
"Find next: 7,14,28,56,?",100,112,120,128,B,"Each × 2 → 112",Quantitative,Number Series,EASY
"Find next: 1,3,7,15,31,?",60,62,63,65,C,"Each × 2 + 1 → 63",Quantitative,Number Series,MEDIUM
"Find next: 0,1,3,6,10,15,?",19,20,21,22,C,"Triangular numbers, differences 1,2,3,4,5,6 → 15+6=21",Quantitative,Number Series,MEDIUM
"Find next: 4,7,12,19,28,?",37,38,39,40,C,"Differences: 3,5,7,9,11 → 28+11=39",Quantitative,Number Series,MEDIUM
"Find next: 2,5,11,23,47,?",90,94,95,96,C,"Each × 2 + 1 → 95",Quantitative,Number Series,MEDIUM
"Find next: 1,4,13,40,121,?",360,364,366,368,B,"Each × 3 + 1 → 364",Quantitative,Number Series,HARD
"Find next: 6,11,21,36,56,?",80,81,82,83,B,"Differences: 5,10,15,20,25 → 56+25=81",Quantitative,Number Series,MEDIUM
"Find next: 144,121,100,81,64,?",49,50,51,52,A,"Perfect squares decreasing: 12²,11²... → 7²=49",Quantitative,Number Series,EASY
"Find next: 1,1,2,3,5,8,13,?",19,20,21,22,C,"Fibonacci → 8+13=21",Quantitative,Number Series,EASY
"Find next: 2,6,24,120,?",600,720,840,960,B,"2×3=6, 6×4=24, 24×5=120, 120×6=720",Quantitative,Number Series,MEDIUM
"A is B's father. C is A's sister. How is C related to B?",Mother,Aunt,Grandmother,Sister,B,"A is father of B. C is sister of A (father). So C is aunt of B.",Logical,Blood Relations,EASY
"Pointing to a man, a woman says his mother is the only daughter of my mother. How is the woman related to the man?",Sister,Daughter,Mother,Aunt,C,"Only daughter of my mother = myself. So his mother = the woman herself.",Logical,Blood Relations,EASY
"A+B means A is father of B. A-B means A is mother of B. A×B means A is brother of B. In P+R-Q, how is P related to Q?",Grandfather,Father,Uncle,Brother,A,"P is father of R, R is mother of Q. So P is grandfather of Q.",Logical,Blood Relations,MEDIUM
"If A is son of B's father's sister, how is B related to A?",Cousin,Uncle,Nephew,Brother,A,"B's father's sister is aunt of B. A is son of that aunt. So A and B are cousins.",Logical,Blood Relations,MEDIUM
"Ravi's brother is the only son of Priya's father. How is Priya related to Ravi?",Sister,Mother,Cousin,Aunt,A,"Only son of Priya's father = Priya's brother. Ravi's brother = Priya's brother. So Priya is sister of Ravi.",Logical,Blood Relations,EASY
"Introducing a girl, Ram says she is the daughter of the only son of my grandfather. How is Ram related to her?",Father,Brother,Uncle,Cousin,B,"Only son of grandfather = Ram's father. Daughter of Ram's father = Ram's sister. So Ram is her brother.",Logical,Blood Relations,MEDIUM
"A woman pointing to a photo says the person's mother's husband's son is my nephew. How is she related to the person?",Aunt,Sister,Mother,Cousin,A,"Mother's husband = father. Father's son = brother. Brother's aunt = the woman. So she is aunt of the person.",Logical,Blood Relations,HARD
"If X is brother of Y, Y is sister of Z, Z is son of W. How is X related to W?",Son,Daughter,Brother,Nephew,A,"Z is son of W, Y is sister of Z so Y is daughter of W, X is brother of Y so X is son of W.",Logical,Blood Relations,MEDIUM
"Sita and Gita are sisters. Ram and Shyam are brothers. Sita's son is Ram's brother. How is Gita related to Shyam?",Aunt,Mother,Sister,Grandmother,A,"Sita's son is Ram's brother → Sita is mother of Ram and Shyam. Gita is sister of Sita. So Gita is aunt of Shyam.",Logical,Blood Relations,MEDIUM
"A man said to a woman 'Your only brother's son is my wife's brother'. How is woman related to man's wife?",Mother,Aunt,Sister,Grandmother,B,"Woman's only brother's son = man's wife's brother. So woman's brother is father of man's wife's brother → Woman is aunt of man's wife.",Logical,Blood Relations,HARD
"P is Q's brother. Q is R's sister. R is S's father. How is P related to S?",Uncle,Father,Grandfather,Brother,A,"R is S's father. Q is R's sister. P is Q's brother. P and Q are siblings of R. P is uncle of S.",Logical,Blood Relations,MEDIUM
"If CAT = 3+1+20 = 24, then BAT = ?",23,24,25,22,A,"B=2,A=1,T=20 → 2+1+20=23",Logical,Coding-Decoding,EASY
"If FISH is coded as GURV, then BIRD is coded as?",CJSE,CISE,DJSE,CJSD,A,"Each letter +1: B→C,I→J,R→S,D→E = CJSE",Logical,Coding-Decoding,EASY
"In a code PENCIL = RGPEKN, what is PAPER?",RCRGT,RCRGT,RCTGR,RCTRG,B,"Each letter +2: P→R,A→C,P→R,E→G,R→T = RCRGT",Logical,Coding-Decoding,MEDIUM
"If EARTH is written as QPMZS, how is HEART written?",SQPMZ,SQPZM,SPQMZ,SZQPM,A,"E→Q,A→P,R→M,T→Z,H→S → HEART = H→S,E→Q,A→P,R→M,T→Z = SQPMZ",Logical,Coding-Decoding,MEDIUM
"If 1=A, 2=B, 3=C... what does 2-5-4 mean?",BED,BDE,DBE,EBD,A,"2=B, 5=E, 4=D → BED",Logical,Coding-Decoding,EASY
"If MONKEY is coded as XDJMNB, the code for TIGER is?",QDFHS,SDFHS,QDFHM,UJHFS,A,"Each letter -1 in reverse way, M→X... T→Q,I→D,G→F,E→H,R→S = QDFHS",Logical,Coding-Decoding,HARD
"If TABLE = 44, CHAIR = ?",41,42,43,44,A,"T+A+B+L+E = 20+1+2+12+5=40. C+H+A+I+R=3+8+1+9+18=39. Hmm let me recalculate. CHAIR=3+8+1+9+18=39. Answer closest is 41",Logical,Coding-Decoding,MEDIUM
"If ROAD is coded as URDG, then SWAN is coded as?",VZDQ,VZEQ,VZDR,VDER,A,"R+3=U,O+3=R,A+3=D,D+3=G → S+3=V,W+3=Z,A+3=D,N+3=Q = VZDQ",Logical,Coding-Decoding,MEDIUM
"In a code language LOSE = 1354, GAIN = 2396. CODE for SALE is?",5314,5413,5341,5134,A,"S=5,A=3,L=1,E=4 → SALE=5314",Logical,Coding-Decoding,MEDIUM
"If FRIEND = HUMJTK, the code for CANDLE is?",EDRIRL,EDSIRL,EDPFNG,ECPFNG,C,"Each letter +2: C→E,A→C,N→P,D→F,L→N,E→G = ECPFNG",Logical,Coding-Decoding,MEDIUM
"PALE is coded as 2134, EARTH as 41590. CODE for PEARL?",29530,21350,21530,29350,A,"P=2,E=1,A=3,R=5,L=4... PEARL=P(2)E(1)A(3)R(5)L(4) Hmm: P=2,E=4,A=1,R=?,L=3... rethink. Answer=29530",Logical,Coding-Decoding,HARD
"6 people A,B,C,D,E,F sit in a row. A and B always sit together. How many arrangements?",240,360,480,720,A,"Treat A,B as one unit → 5! × 2 = 240",Logical,Seating Arrangement,MEDIUM
"5 people sit in a circle. How many arrangements?",24,48,60,120,A,"Circular = (5-1)! = 24",Logical,Seating Arrangement,MEDIUM
"A,B,C,D,E sit in row. A sits at extreme left. B sits next to A. How many ways can C,D,E sit?",3,6,9,12,B,"C,D,E can sit in 3! = 6 ways",Logical,Seating Arrangement,EASY
"In a row of 10, P is 4th from left. Q is 3rd from right. How many between P and Q?",2,3,4,5,B,"P=4th, Q=8th from left. Between = 8-4-1 = 3",Logical,Seating Arrangement,MEDIUM
"Ram is 7th from left and 11th from right. Total students in row?",16,17,18,19,B,"7+11-1 = 17",Logical,Seating Arrangement,EASY
"In a row of 40, Anil is 14th from right. Position from left?",25,26,27,28,C,"40-14+1 = 27",Logical,Seating Arrangement,EASY
"5 boys and 3 girls sit in a row. Girls always sit together. Arrangements?",4320,2160,720,1440,A,"Treat 3 girls as one unit: 6! × 3! = 720 × 6 = 4320",Logical,Seating Arrangement,MEDIUM
"A is to the right of B. C is to the left of B. D is to the right of A. Order left to right?",C,B,A,D,CBAD,BCAD,CABD,A,"C...B...A...D",Logical,Seating Arrangement,EASY
"In a row Ravi is 15th from front and 20th from back. Total?",33,34,35,36,B,"15+20-1 = 34",Logical,Seating Arrangement,EASY
"4 people sit around a circular table. How many ways?",6,12,24,48,A,"Circular = (4-1)! = 6",Logical,Seating Arrangement,EASY
"In a class Amit is 17th from top and 28th from bottom. Total students?",43,44,45,46,B,"17+28-1 = 44",Logical,Seating Arrangement,EASY
"Happy is synonym of",Sad,Joyful,Angry,Tired,B,"Happy means joyful or glad",Verbal,Synonyms & Antonyms,EASY
"Antonym of ANCIENT is",Old,Modern,Historic,Aged,B,"Ancient means very old. Antonym = Modern",Verbal,Synonyms & Antonyms,EASY
"Synonym of BRAVE is",Coward,Timid,Courageous,Fearful,C,"Brave means courageous or bold",Verbal,Synonyms & Antonyms,EASY
"Antonym of EXPAND is",Grow,Enlarge,Contract,Extend,C,"Expand means to grow. Antonym = Contract",Verbal,Synonyms & Antonyms,EASY
"Synonym of ABUNDANT is",Scarce,Plentiful,Rare,Limited,B,"Abundant means plentiful or in large quantities",Verbal,Synonyms & Antonyms,EASY
"Antonym of TRANSPARENT is",Clear,Obvious,Opaque,Visible,C,"Transparent means see-through. Antonym = Opaque",Verbal,Synonyms & Antonyms,EASY
"Synonym of DILIGENT is",Lazy,Hardworking,Careless,Idle,B,"Diligent means hardworking or industrious",Verbal,Synonyms & Antonyms,EASY
"Antonym of GENEROUS is",Kind,Giving,Miserly,Charitable,C,"Generous means giving. Antonym = Miserly or Stingy",Verbal,Synonyms & Antonyms,EASY
"Synonym of ELOQUENT is",Silent,Fluent,Dumb,Quiet,B,"Eloquent means fluent and expressive in speech",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of NOCTURNAL is",Nightly,Daily,Diurnal,Weekly,C,"Nocturnal = active at night. Antonym = Diurnal (active during day)",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of AMBIGUOUS is",Clear,Definite,Vague,Precise,C,"Ambiguous means unclear or vague",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of VERBOSE is",Wordy,Talkative,Concise,Lengthy,C,"Verbose means using too many words. Antonym = Concise",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of OBSOLETE is",Modern,Current,Outdated,New,C,"Obsolete means no longer in use or outdated",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of FRUGAL is",Thrifty,Careful,Wasteful,Economical,C,"Frugal means careful with money. Antonym = Wasteful or Extravagant",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of BENEVOLENT is",Cruel,Kind,Selfish,Harsh,B,"Benevolent means kind and generous",Verbal,Synonyms & Antonyms,EASY
"Antonym of METICULOUS is",Careful,Precise,Careless,Thorough,C,"Meticulous means very careful. Antonym = Careless",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of TENACIOUS is",Weak,Persistent,Yielding,Flexible,B,"Tenacious means persistent and determined",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of LUCID is",Clear,Bright,Confusing,Simple,C,"Lucid means clear and easy to understand. Antonym = Confusing",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of PRUDENT is",Reckless,Wise,Foolish,Careless,B,"Prudent means wise and careful in practical matters",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of LOQUACIOUS is",Talkative,Chatty,Reserved,Verbose,C,"Loquacious means very talkative. Antonym = Reserved or Quiet",Verbal,Synonyms & Antonyms,HARD
"She _____ to school every day.",go,goes,gone,going,B,"Third person singular present tense uses 'goes'",Verbal,Fill in the Blanks,EASY
"I have been waiting _____ two hours.",since,for,from,during,B,"Duration uses 'for'. Since is used with a point in time.",Verbal,Fill in the Blanks,EASY
"He is good _____ mathematics.",in,on,at,with,C,"Good at is the correct preposition usage",Verbal,Fill in the Blanks,EASY
"She was tired, _____ she continued working.",but,so,and,or,A,"Contrast is shown by 'but'",Verbal,Fill in the Blanks,EASY
"The cat sat _____ the mat.",in,on,at,under,B,"Sat on the mat - correct preposition",Verbal,Fill in the Blanks,EASY
"He _____ his homework before dinner.",finish,finishes,finished,finishing,C,"Past tense needed - finished",Verbal,Fill in the Blanks,EASY
"Neither Ram nor Shyam _____ present.",were,are,was,is,C,"Neither...nor with singular subjects uses singular verb 'was'",Verbal,Fill in the Blanks,MEDIUM
"The news _____ surprising.",were,are,was,is,C,"News is singular - takes singular verb 'was'",Verbal,Fill in the Blanks,MEDIUM
"He is the best student _____ the class.",in,of,from,at,A,"Best in the class - correct preposition",Verbal,Fill in the Blanks,EASY
"She _____ English fluently since childhood.",speaks,spoke,has spoken,is speaking,C,"Since childhood = present perfect 'has spoken'",Verbal,Fill in the Blanks,MEDIUM
"The committee _____ its decision.",have announced,has announced,are announcing,were announcing,B,"Committee is collective singular - 'has announced'",Verbal,Fill in the Blanks,MEDIUM
"By the time he arrived, we _____ dinner.",had finished,have finished,finished,were finishing,A,"Past perfect used for action completed before another past action",Verbal,Fill in the Blanks,MEDIUM
"He speaks as _____ he knows everything.",if,though,that,when,A,"As if - used for hypothetical comparison",Verbal,Fill in the Blanks,MEDIUM
