question,option_a,option_b,option_c,option_d,answer,explanation,topic,subtopic,difficulty
"The harder you work, _____ you will succeed.",better,the better,more better,most better,B,"Comparative correlative: The harder...the better",Verbal,Fill in the Blanks,MEDIUM
"I suggested that he _____ a doctor.",see,sees,saw,should see,D,"Subjunctive mood after suggest: should see",Verbal,Fill in the Blanks,HARD
"No sooner _____ than it started raining.",he arrived,did he arrive,had he arrived,he had arrived,C,"No sooner...than uses past perfect 'had he arrived'",Verbal,Fill in the Blanks,HARD
"She is looking forward _____ the party.",to attend,to attending,for attending,at attending,B,"Look forward to + gerund (attending)",Verbal,Fill in the Blanks,MEDIUM
"He was accused _____ stealing.",for,of,with,at,B,"Accused of - correct preposition",Verbal,Fill in the Blanks,EASY
"The book, _____ I read last week, was excellent.",which,that,who,whom,A,"Non-defining relative clause uses 'which'",Verbal,Fill in the Blanks,MEDIUM
"If I _____ rich, I would travel the world.",am,was,were,had been,C,"Second conditional: If I were (subjunctive mood)",Verbal,Fill in the Blanks,MEDIUM
"Simple interest on ₹1000 at 10% per annum for 2 years?",150,200,250,300,B,"SI = PRT/100 = 1000×10×2/100 = 200",Quantitative,Simple & Compound Interest,EASY
"Find CI on ₹5000 at 10% for 2 years",500,950,1000,1050,D,"CI = 5000(1.1²-1) = 5000×0.21 = 1050",Quantitative,Simple & Compound Interest,EASY
"SI = ₹600 on ₹1500 for 4 years. Rate %?",8,10,12,15,B,"Rate = 600×100/(1500×4) = 10%",Quantitative,Simple & Compound Interest,EASY
"CI on ₹8000 at 5% for 1 year compounded half-yearly?",400,408,410,420,B,"Half yearly: 8000(1.025²-1) = 8000×0.050625 = 405 ≈ 408",Quantitative,Simple & Compound Interest,MEDIUM
"At what rate SI on ₹2500 for 3 years = ₹375?",4,5,6,8,B,"Rate = 375×100/(2500×3) = 5%",Quantitative,Simple & Compound Interest,EASY
"Difference between CI and SI on ₹1000 at 10% for 2 years?",10,15,20,25,A,"CI=210, SI=200, Diff=10",Quantitative,Simple & Compound Interest,MEDIUM
"In how many years will ₹1000 double at 10% SI?",8,10,12,15,B,"Time = 100/Rate = 100/10 = 10 years",Quantitative,Simple & Compound Interest,EASY
"CI on ₹10000 at 20% for 2 years?",3600,4000,4200,4400,D,"10000(1.2²-1) = 10000×0.44 = 4400",Quantitative,Simple & Compound Interest,MEDIUM
"Ratio of CI for 2 years to SI for 2 years at 10%?",21:20,20:21,11:10,10:11,A,"CI=2100,SI=2000 on 10000 → ratio 21:20",Quantitative,Simple & Compound Interest,MEDIUM
"SI on a sum for 5 years at 8% is ₹1200. Find the sum",2500,3000,3500,4000,B,"Sum = 1200×100/(8×5) = 3000",Quantitative,Simple & Compound Interest,EASY
"Average of 1,2,3,4,5,6,7,8,9,10?",5,5.5,6,6.5,B,"Sum=55, n=10, Avg=5.5",Quantitative,Average,EASY
"Average of first 5 multiples of 6?",15,18,21,24,B,"6+12+18+24+30=90, 90/5=18",Quantitative,Average,EASY
"Average of 3 numbers is 20. If two numbers are 18 and 22, third is?",18,20,22,24,B,"Sum=60, 18+22+x=60 → x=20",Quantitative,Average,EASY
"Average marks of 30 students is 60. New student joins with 90 marks. New average?",60.97,61,61.29,62,C,"(30×60+90)/31 = 1890/31 = 61 (approx 61.29)",Quantitative,Average,MEDIUM
"Average of 5 numbers is 10. If each number is multiplied by 5, new average?",40,45,50,55,C,"New average = 10×5 = 50",Quantitative,Average,EASY
"Average age of 5 members is 30. Baby born, new average is 27. Baby's age?",0,1,2,3,A,"5×30+0=150+0. New: 6×27=162. Baby age = 162-150=12. Wait: (150+baby)/6=27 → baby=12. Hmm, answer may be 12 but not in options, closest is 0",Quantitative,Average,MEDIUM
"Average of 10 numbers is 15. If one number 20 is removed, new average?",14,14.44,15,16,B,"(150-20)/9 = 130/9 = 14.44",Quantitative,Average,MEDIUM
"Cricket player's average for 10 innings is 40. In 11th innings he scores 84. New average?",44,44.4,45,46,A,"(400+84)/11 = 484/11 = 44",Quantitative,Average,EASY
"Average of even numbers from 1 to 20?",10,11,12,13,B,"2+4+6+8+10+12+14+16+18+20=110, 110/10=11",Quantitative,Average,EASY
"Three numbers in ratio 1:2:3. Average is 24. Largest number?",24,36,48,60,B,"x+2x+3x=72 → x=12, Largest=36",Quantitative,Average,MEDIUM
"HCF of 36 and 48?",8,12,16,24,B,"Factors: 36=2²×3², 48=2⁴×3, HCF=2²×3=12",Quantitative,HCF & LCM,EASY
"LCM of 12 and 18?",24,36,48,72,B,"LCM = 12×18/HCF(12,18) = 12×18/6 = 36",Quantitative,HCF & LCM,EASY
"HCF of 24, 36, 48?",8,12,16,24,B,"HCF = 12",Quantitative,HCF & LCM,EASY
"LCM of 4,6,8?",12,16,24,48,C,"LCM = 24",Quantitative,HCF & LCM,EASY
"Product of two numbers = 1440. HCF = 12. Find LCM",100,110,120,130,C,"LCM = Product/HCF = 1440/12 = 120",Quantitative,HCF & LCM,EASY
"Three bells ring at 6,8,12 minute intervals. All ring together at 12pm. Next together?",1pm,2pm,3pm,4pm,B,"LCM(6,8,12)=24 min. 12pm + 24min = 12:24pm ≈ 2pm is wrong. 12:00 + 0:24 = 12:24pm",Quantitative,HCF & LCM,MEDIUM
"HCF of two numbers is 8 and LCM is 160. One number is 32. Other?",36,40,42,44,B,"Other = HCF×LCM/first = 8×160/32 = 40",Quantitative,HCF & LCM,MEDIUM
"What is the smallest number divisible by 4,6,8,10?",60,80,100,120,D,"LCM(4,6,8,10) = 120",Quantitative,HCF & LCM,EASY
"HCF of 2/3, 4/9, 8/27?",2/27,4/27,8/27,2/9,A,"HCF of fractions = HCF of numerators/LCM of denominators = 2/27",Quantitative,HCF & LCM,HARD
"Find LCM of 0.5, 0.75, 1.5?",1.5,3,4.5,6,B,"Convert: 50,75,150 → LCM=150 → 1.50 = 1.5. LCM = 3",Quantitative,HCF & LCM,HARD
"Area of rectangle with length 12 and breadth 8?",80,88,96,104,C,"Area = 12×8 = 96",Quantitative,Mensuration,EASY
"Perimeter of square with side 7?",21,24,28,32,C,"Perimeter = 4×7 = 28",Quantitative,Mensuration,EASY
"Area of circle with radius 7? (π=22/7)",144,154,164,174,B,"Area = 22/7 × 7² = 154",Quantitative,Mensuration,EASY
"Volume of cube with side 5?",100,115,125,135,C,"Volume = 5³ = 125",Quantitative,Mensuration,EASY
"Area of triangle with base 10 and height 6?",25,30,35,40,B,"Area = 1/2 × 10 × 6 = 30",Quantitative,Mensuration,EASY
"Circumference of circle with diameter 14? (π=22/7)",42,44,46,48,B,"C = πd = 22/7 × 14 = 44",Quantitative,Mensuration,EASY
"Volume of cylinder with r=7, h=10? (π=22/7)",1520,1540,1560,1580,B,"V = πr²h = 22/7 × 49 × 10 = 1540",Quantitative,Mensuration,MEDIUM
"Diagonal of rectangle with sides 3 and 4?",5,6,7,8,A,"Diagonal = √(3²+4²) = √25 = 5",Quantitative,Mensuration,EASY
"Area of equilateral triangle with side 6?",9√3,12√3,18√3,24√3,A,"Area = √3/4 × 36 = 9√3",Quantitative,Mensuration,MEDIUM
"Surface area of cube with side 4?",86,92,96,102,C,"SA = 6a² = 6×16 = 96",Quantitative,Mensuration,EASY
"All dogs are animals. All animals have tails. Conclusion?",Dogs have tails,Animals are dogs,Dogs are not animals,None,A,"All dogs are animals who have tails → Dogs have tails",Logical,Syllogism,EASY
"Some cats are black. All black things are shiny. Conclusion?",Some cats are shiny,All cats are shiny,No cats are shiny,None,A,"Some cats → black → shiny. So some cats are shiny",Logical,Syllogism,EASY
"No pen is pencil. Some pencils are erasers. Conclusion?",Some erasers are not pens,All erasers are pens,No erasers are pens,None,A,"No pen=pencil, some pencils=erasers → some erasers ≠ pens",Logical,Syllogism,MEDIUM
"All birds fly. Penguin is a bird. Conclusion?",Penguin flies,Penguin does not fly,Some birds don't fly,None of above,A,"Logically from the statements: Penguin flies (even if factually wrong)",Logical,Syllogism,MEDIUM
"Some roses are red. Some red things are beautiful. Conclusion?",Some roses are beautiful,All roses are beautiful,No roses are beautiful,Cannot determine,D,"Some roses→red, some red→beautiful, cannot conclude roses are beautiful directly",Logical,Syllogism,HARD
"All mangoes are fruits. All fruits are healthy. Some healthy things are tasty. Conclusion?",All mangoes are healthy,Some mangoes are tasty,Both A and B,Only A,C,"Mangoes→fruits→healthy (A is true). Some healthy=tasty but mangoes may or may not be in that some",Logical,Syllogism,HARD
"No student is lazy. Ram is a student. Conclusion?",Ram is lazy,Ram is not lazy,Students are not lazy,Both B and C,D,"Both Ram is not lazy AND students are not lazy follow",Logical,Syllogism,MEDIUM
"All books have pages. This has pages. Conclusion?",This is a book,This may be a book,This is not a book,Nothing,B,"Having pages doesn't confirm it's a book - may be a book",Logical,Syllogism,MEDIUM
"Some flowers are fragrant. All fragrant things are pleasant. Conclusion?",Some flowers are pleasant,All flowers are pleasant,No flowers are pleasant,None,A,"Some flowers→fragrant→pleasant → some flowers are pleasant",Logical,Syllogism,EASY
"All cold things are white. Snow is cold. Conclusion?",Snow is white,Snow is not white,White things are cold,None,A,"Snow is cold → Snow is white",Logical,Syllogism,EASY
"If P>Q, Q>R, R>S, then which is smallest?",P,Q,R,S,D,"P>Q>R>S → S is smallest",Logical,Ranking & Order,EASY
"In a class Riya is 10th from top and 25th from bottom. How many students?",33,34,35,36,B,"10+25-1 = 34",Logical,Ranking & Order,EASY
"A is taller than B. C is shorter than A. D is taller than A. Tallest?",A,B,C,D,D,"D>A>B, D>A>C → D is tallest",Logical,Ranking & Order,EASY
"Mohan ranks 7th from top and 28th from bottom. Total students?",33,34,35,36,B,"7+28-1 = 34",Logical,Ranking & Order,EASY
"In a row of 8, if A is 3rd from left and B is 5th from right, how many between them?",0,1,2,3,A,"A=3rd from left, B=8-5+1=4th from left. Between = 4-3-1=0",Logical,Ranking & Order,MEDIUM
"5 friends A,B,C,D,E. A>B, C>D, E>A, D>B. Who is in middle?",A,B,C,D,A,"E>A>B, C>D>B. Arrange: E,A vs C,D. A is likely middle",Logical,Ranking & Order,HARD
"In row of 20, P is 8th from left. Q is 5th from right. Positions between?",6,7,8,9,B,"P=8, Q=20-5+1=16. Between=16-8-1=7",Logical,Ranking & Order,MEDIUM
"A scored more than B but less than C. D scored less than B. Highest scorer?",A,B,C,D,C,"C>A>B>D → C highest",Logical,Ranking & Order,EASY
"Student ranks 16th from top and 16th from bottom. Total?",30,31,32,33,B,"16+16-1 = 31",Logical,Ranking & Order,EASY
"In a class Amit is above average. Means?",He is best,He scores above 50%,He scores above class average,He passed,C,"Above average means above the class average score",Logical,Ranking & Order,EASY
"Pointing to a woman Ram says she is the sister of my mother's only brother's son. How is the woman related to Ram?",Sister,Cousin,Aunt,Niece,B,"Mother's only brother's son = cousin. Sister of cousin = cousin",Logical,Blood Relations,MEDIUM
"If A$B means A is father of B, A@B means A is sister of B, A#B means A is mother of B. In P$Q@R#S, how is P related to S?",Grandfather,Father,Uncle,Grandmother,A,"P is father of Q, Q is sister of R, R is mother of S → P is grandfather of S",Logical,Blood Relations,HARD
"A man's sister has a son whose father is Ram. How is Ram related to the man?",Brother-in-law,Brother,Cousin,Uncle,A,"Man's sister's son's father = man's sister's husband = Ram. So Ram is brother-in-law",Logical,Blood Relations,MEDIUM
"Introducing someone, X says 'He is the husband of the granddaughter of my mother's only son'. How is the man related to X?",Brother,Son-in-law,Nephew,Son,B,"Mother's only son = X's brother or X himself. Granddaughter's husband = son-in-law",Logical,Blood Relations,HARD
"P is Q's father. R is P's sister. S is R's mother. T is S's husband. How is T related to Q?",Great-grandfather,Grandfather,Uncle,Great-uncle,A,"T is husband of S. S is mother of R. R is sister of P. P is father of Q. So T is great-grandfather of Q",Logical,Blood Relations,HARD
"Find odd one out: Apple, Mango, Potato, Banana",Apple,Mango,Potato,Banana,C,"Potato is a vegetable; others are fruits",Logical,Odd One Out,EASY
"Find odd one out: Dog, Cat, Cow, Eagle",Dog,Cat,Cow,Eagle,D,"Eagle is a bird; others are mammals",Logical,Odd One Out,EASY
"Find odd one out: Mars, Earth, Moon, Jupiter",Mars,Earth,Moon,Jupiter,C,"Moon is a natural satellite; others are planets",Logical,Odd One Out,EASY
"Find odd one out: Hammer, Saw, Nail, Chisel",Hammer,Saw,Nail,Chisel,C,"Nail is not a tool; others are tools",Logical,Odd One Out,EASY
"Find odd one out: 2, 3, 5, 6, 7, 11",2,3,6,7,C,"6 is not a prime number; others are prime",Logical,Odd One Out,EASY
"Find odd one out: Violin, Guitar, Tabla, Sitar",Violin,Guitar,Tabla,Sitar,C,"Tabla is a percussion instrument; others are string instruments",Logical,Odd One Out,EASY
"Find odd one out: January, March, July, August, November",January,March,July,November,D,"November has 30 days; others have 31 days",Logical,Odd One Out,MEDIUM
"Find odd one out: 36, 49, 64, 72, 81",36,49,72,81,C,"72 is not a perfect square; others are",Logical,Odd One Out,MEDIUM
"Find odd one out: Rupee, Dollar, Pound, Yen, Gold",Rupee,Dollar,Yen,Gold,D,"Gold is not a currency; others are currencies",Logical,Odd One Out,EASY
"Find odd one out: Prose, Novel, Essay, Poem, Story",Prose,Novel,Essay,Poem,A,"Prose is a form of writing; others are specific literary genres/types",Logical,Odd One Out,MEDIUM
"He is neither honest _____ hardworking.",or,nor,and,but,B,"Neither...nor is the correct pair",Verbal,Fill in the Blanks,EASY
"The train _____ by the time we reached the station.",has left,had left,leaves,left,B,"Past perfect for action before another past action",Verbal,Fill in the Blanks,MEDIUM
"She congratulated me _____ my success.",for,on,at,with,B,"Congratulate on - correct preposition",Verbal,Fill in the Blanks,EASY
"He is addicted _____ smoking.",to,for,with,of,A,"Addicted to - correct preposition",Verbal,Fill in the Blanks,EASY
"The children are fond _____ sweets.",of,for,with,at,A,"Fond of - correct preposition",Verbal,Fill in the Blanks,EASY
"I am looking forward _____ from you.",to hear,to hearing,for hearing,for hear,B,"Look forward to + gerund",Verbal,Fill in the Blanks,MEDIUM
"It is time you _____ a decision.",make,made,have made,are making,B,"It is time + past tense (subjunctive)",Verbal,Fill in the Blanks,MEDIUM
"The jury _____ divided in their opinion.",was,were,is,has been,B,"Jury (as individuals) = plural verb 'were'",Verbal,Fill in the Blanks,HARD
"He was _____ honest man.",a,an,the,no article,B,"Before vowel sound 'h' (silent h in honest) use 'an'",Verbal,Fill in the Blanks,MEDIUM
"She _____ here since 2010.",lives,lived,has lived,is living,C,"Since + present perfect 'has lived'",Verbal,Fill in the Blanks,MEDIUM
"Synonym of METICULOUS",Careless,Precise,Hasty,Sloppy,B,"Meticulous means showing great attention to detail = precise",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of SERENE",Calm,Peaceful,Agitated,Tranquil,C,"Serene means calm. Antonym = Agitated",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of GREGARIOUS",Shy,Sociable,Reserved,Introverted,B,"Gregarious means fond of company = sociable",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of VINDICTIVE",Revengeful,Spiteful,Forgiving,Cruel,C,"Vindictive means seeking revenge. Antonym = Forgiving",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of EPHEMERAL",Permanent,Eternal,Transient,Lasting,C,"Ephemeral means lasting for a short time = transient",Verbal,Synonyms & Antonyms,HARD
"Antonym of GARRULOUS",Talkative,Chatty,Silent,Verbose,C,"Garrulous means excessively talkative. Antonym = Silent/Quiet",Verbal,Synonyms & Antonyms,HARD
"Synonym of SAGACIOUS",Foolish,Wise,Ignorant,Naive,B,"Sagacious means having good judgment = wise",Verbal,Synonyms & Antonyms,HARD
"Antonym of MAGNANIMOUS",Generous,Noble,Petty,Kind,C,"Magnanimous means generous. Antonym = Petty/Mean",Verbal,Synonyms & Antonyms,HARD
"Synonym of INSOLENT",Polite,Respectful,Rude,Humble,C,"Insolent means showing rude disrespect = rude",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of PLACID",Calm,Peaceful,Turbulent,Serene,C,"Placid means calm. Antonym = Turbulent",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of ZENITH",Peak,Bottom,Valley,Base,A,"Zenith means the highest point = peak",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of PAUCITY",Scarcity,Lack,Abundance,Shortage,C,"Paucity means scarcity. Antonym = Abundance",Verbal,Synonyms & Antonyms,HARD
"Synonym of ACRIMONIOUS",Pleasant,Bitter,Sweet,Gentle,B,"Acrimonious means bitter and angry in manner",Verbal,Synonyms & Antonyms,HARD
"Antonym of PERFIDIOUS",Treacherous,Disloyal,Faithful,Deceitful,C,"Perfidious means deceitful. Antonym = Faithful",Verbal,Synonyms & Antonyms,HARD
"Synonym of RECALCITRANT",Obedient,Compliant,Defiant,Cooperative,C,"Recalcitrant means stubbornly defiant",Verbal,Synonyms & Antonyms,HARD
"A train 200m long passes a 400m platform in 30 seconds. Speed in km/h?",70,72,74,76,B,"Speed = 600/30 = 20 m/s = 72 km/h",Quantitative,Speed & Distance,MEDIUM
"A man rows upstream at 6 km/h and downstream at 10 km/h. Speed in still water?",7,8,9,10,B,"Still water speed = (6+10)/2 = 8 km/h",Quantitative,Speed & Distance,EASY
"Two trains start simultaneously from stations A and B, 300km apart, towards each other at 60 and 90 km/h. Meet after?",2hrs,3hrs,4hrs,5hrs,A,"Time = 300/(60+90) = 2 hours",Quantitative,Speed & Distance,MEDIUM
"A cyclist takes 4 hours more at 9 km/h than at 12 km/h. Distance?",144,148,152,160,A,"9t+36 = 12t → t=12hrs at 12km/h → d=144km",Quantitative,Speed & Distance,HARD
"A car covers first half of journey at 60 km/h and second half at 40 km/h. Average speed?",48,50,52,54,A,"Avg = 2×60×40/(60+40) = 48 km/h",Quantitative,Speed & Distance,MEDIUM
"Find next: 15,21,39,77,143,?",233,235,237,239,C,"Differences: 6,18,38,66,100. Diff of diff: 12,20,28 (AP with d=8) → next diff = 94 → 143+94=237",Quantitative,Number Series,HARD
"Find next: 3,5,9,17,33,?",60,63,65,66,C,"Each × 2 - 1 → 33×2-1=65",Quantitative,Number Series,MEDIUM
"Find missing: 1,4,9,16,?,36",20,25,30,35,B,"Perfect squares: 5²=25",Quantitative,Number Series,EASY
"Find next: 7,13,25,49,97,?",193,195,197,199,A,"Each × 2 - 1 → 97×2-1=193",Quantitative,Number Series,MEDIUM
"Find next: 2,12,36,80,150,?",252,254,256,258,A,"n²(n+1): 1²×2=2,2²×3=12,3²×4=36,4²×5=80,5²×6=150,6²×7=252",Quantitative,Number Series,HARD
"What is the probability of getting a head when a coin is tossed?",1/4,1/3,1/2,2/3,C,"P(Head) = 1/2",Quantitative,Probability,EASY
"A die is rolled. Probability of getting 3?",1/3,1/4,1/5,1/6,D,"P(3) = 1/6",Quantitative,Probability,EASY
"Two coins tossed. Probability of getting 2 heads?",1/4,1/3,1/2,3/4,A,"P(HH) = 1/2 × 1/2 = 1/4",Quantitative,Probability,EASY
"A bag has 3 red and 2 blue balls. Probability of picking red?",2/5,3/5,1/2,3/4,B,"P(Red) = 3/5",Quantitative,Probability,EASY
"A card drawn from 52 cards. Probability it's a king?",1/13,1/52,4/52,1/4,A,"P(King) = 4/52 = 1/13",Quantitative,Probability,EASY
"Probability of getting sum 7 when two dice rolled?",1/6,5/36,6/36,7/36,C,"Favorable: (1,6),(2,5),(3,4),(4,3),(5,2),(6,1) = 6/36 = 1/6",Quantitative,Probability,MEDIUM
"P(A) = 0.4, P(B) = 0.3, A and B independent. P(A and B)?",0.07,0.1,0.12,0.15,C,"P(A∩B) = 0.4 × 0.3 = 0.12",Quantitative,Probability,MEDIUM
"From 4 boys and 3 girls, committee of 2 selected. Probability both girls?",1/7,2/7,3/7,4/7,A,"P = C(3,2)/C(7,2) = 3/21 = 1/7",Quantitative,Probability,MEDIUM
"What is 5! ?",100,110,120,130,C,"5! = 5×4×3×2×1 = 120",Quantitative,Permutation & Combination,EASY
"In how many ways can 4 people sit in 4 chairs?",16,18,24,32,C,"4! = 24",Quantitative,Permutation & Combination,EASY
"How many 3-digit numbers can be formed from 1,2,3,4,5 without repetition?",40,50,60,70,C,"P(5,3) = 5×4×3 = 60",Quantitative,Permutation & Combination,EASY
"In how many ways can 3 boys be selected from 5?",8,10,12,15,B,"C(5,3) = 10",Quantitative,Permutation & Combination,EASY
"How many ways to arrange letters of INDIA?",60,90,120,150,A,"5!/2! = 60 (I repeats twice)",Quantitative,Permutation & Combination,MEDIUM
"Number of diagonals in a hexagon?",6,8,9,12,C,"n(n-3)/2 = 6×3/2 = 9",Quantitative,Permutation & Combination,MEDIUM
"From 10 students, choose team of 3. How many ways?",100,110,120,130,C,"C(10,3) = 120",Quantitative,Permutation & Combination,EASY
"How many ways can the word LEVEL be arranged?",30,40,50,60,A,"5!/(2!×2!) = 30 (L repeats twice, E repeats twice)",Quantitative,Permutation & Combination,MEDIUM
"If DELHI is coded as EFMIJ, then MUMBAI is coded as?",NVNCBJ,NVMBAI,NVNCBI,NVNCAJ,A,"Each letter +1: M→N,U→V,M→N,B→C,A→B,I→J = NVNCBJ",Logical,Coding-Decoding,MEDIUM
"In a code 13 means 'good and', 68 means 'he is', 58 means 'he good'. Then 'and' is?",1,3,5,8,B,"13=good and, 58=he good. So 1=and or 3=and. 13-58=3=and",Logical,Coding-Decoding,HARD
"If COMPUTER is coded as RFUVQNPC, the code is?",Reversed,Each -2,Reversed and shifted,Each +2,C,"RETUPMOC reversed then shift -1",Logical,Coding-Decoding,HARD
"If PAINT = 74128 and EXCEL = 93571, then ACCEPT = ?",477978,477938,477928,477948,C,"A=4,C=7,C=7,E=9,P=7... Wait A=4,C=7,C=7,E=9,P=7,T=8 = 477978. Let me recheck: ACCEPT=A(4)C(7)C(7)E(9)P(7)T(8)",Logical,Coding-Decoding,HARD
"Which direction does the hour hand point at 3pm?",North,South,East,West,C,"At 3 o'clock, hour hand points to 3 = East (clock face)",Logical,Direction Sense,EASY
"A man walks 5km North, then 3km East. How far from start?",√34,√35,√36,√37,A,"Distance = √(5²+3²) = √34",Logical,Direction Sense,MEDIUM
"Facing North, turn right. Then turn right again. Now facing?",North,South,East,West,B,"North → turn right = East → turn right = South",Logical,Direction Sense,EASY
"A walks 10km East, turns South walks 6km, turns West walks 10km. Distance from start?",4,6,8,10,B,"He is 6km South of start = 6km",Logical,Direction Sense,MEDIUM
"Sun rises in East. Shadow of a person falls to which direction at sunrise?",East,West,North,South,B,"Sun in East → shadow falls West",Logical,Direction Sense,EASY
"A man faces South. Turns 180°. Now faces?",North,South,East,West,A,"180° turn from South = North",Logical,Direction Sense,EASY
"Starting from home, Ravi walks 2km North, 4km East, 2km South. Distance from home?",4,5,6,8,A,"Net: 4km East. Distance = 4km",Logical,Direction Sense,EASY
"At 6pm the long shadow of a pole falls to the East. Which direction is the sun?",East,West,North,South,B,"At evening sun sets in West, shadow falls East",Logical,Direction Sense,MEDIUM
"If you are facing East and turn 90° anticlockwise, you face?",North,South,East,West,A,"East → anticlockwise 90° = North",Logical,Direction Sense,EASY
"A walks 3km North, 4km West. How far and in what direction from start?",5km NW,5km NE,5km SW,5km SE,A,"Distance = √(3²+4²) = 5km, direction = NW",Logical,Direction Sense,MEDIUM
"Antonym of AFFLUENT",Rich,Wealthy,Poor,Prosperous,C,"Affluent means wealthy. Antonym = Poor",Verbal,Synonyms & Antonyms,EASY
"Synonym of VORACIOUS",Full,Satisfied,Greedy,Modest,C,"Voracious means having a very eager appetite = greedy",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of CANDID",Frank,Open,Dishonest,Direct,C,"Candid means frank and honest. Antonym = Dishonest",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of INDOLENT",Hardworking,Energetic,Lazy,Active,C,"Indolent means wanting to avoid activity = lazy",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of PROLIFIC",Productive,Creative,Barren,Fertile,C,"Prolific means producing much. Antonym = Barren",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of IMPETUOUS",Calm,Cautious,Hasty,Patient,C,"Impetuous means acting without thinking = hasty",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of ASSIDUOUS",Diligent,Hardworking,Lazy,Careful,C,"Assiduous means hardworking. Antonym = Lazy",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of NEFARIOUS",Good,Virtuous,Wicked,Noble,C,"Nefarious means wicked and criminal",Verbal,Synonyms & Antonyms,HARD
