question,option_a,option_b,option_c,option_d,answer,explanation,topic,subtopic,difficulty
"Antonym of OSTENTATIOUS",Showy,Modest,Flashy,Gaudy,B,"Ostentatious means showy. Antonym = Modest",Verbal,Synonyms & Antonyms,HARD
"Synonym of QUERULOUS",Happy,Content,Complaining,Peaceful,C,"Querulous means complaining in a petulant way",Verbal,Synonyms & Antonyms,HARD
"The book _____ on the table since morning.",is,was,has been,had been,C,"Since morning = present perfect continuous or perfect. 'has been' correct",Verbal,Fill in the Blanks,MEDIUM
"He denied _____ the money.",steal,to steal,stealing,stolen,C,"Deny + gerund (stealing)",Verbal,Fill in the Blanks,MEDIUM
"_____ he works hard, he will fail.",Unless,If,Although,Since,A,"Unless = if not. Unless he works hard = if he doesn't work hard",Verbal,Fill in the Blanks,MEDIUM
"The committee has submitted _____ report.",its,their,it's,there,A,"Committee is singular = its",Verbal,Fill in the Blanks,MEDIUM
"She would have come if she _____ invited.",was,were,had been,has been,C,"Third conditional: would have come if had been invited",Verbal,Fill in the Blanks,HARD
"He is _____ M.A. in English.",a,an,the,no article,B,"Before vowel sound 'em' use 'an'",Verbal,Fill in the Blanks,MEDIUM
"The police _____ investigating the case.",is,are,was,were,B,"Police is plural = are",Verbal,Fill in the Blanks,MEDIUM
"She insisted _____ seeing the manager.",on,for,to,at,A,"Insist on + gerund",Verbal,Fill in the Blanks,MEDIUM
"He was warned _____ smoking.",about,of,against,for,C,"Warned against - correct preposition",Verbal,Fill in the Blanks,MEDIUM
"I prefer tea _____ coffee.",than,over,to,from,C,"Prefer...to is correct usage",Verbal,Fill in the Blanks,MEDIUM
"What is 12² ?",124,134,144,154,C,"12×12 = 144",Quantitative,Squares & Roots,EASY
"√196 = ?",12,13,14,15,C,"√196 = 14",Quantitative,Squares & Roots,EASY
"√0.0025 = ?",0.05,0.5,0.005,5,A,"√(25/10000) = 5/100 = 0.05",Quantitative,Squares & Roots,MEDIUM
"15² + 20² = ?",525,600,625,650,C,"225+400 = 625",Quantitative,Squares & Roots,EASY
"Cube root of 512?",6,7,8,9,C,"8³ = 512",Quantitative,Squares & Roots,EASY
"√(144/169) = ?",12/13,11/13,13/12,12/11,A,"√144/√169 = 12/13",Quantitative,Squares & Roots,MEDIUM
"If x² = 169, x = ?",11,12,13,14,C,"x = √169 = 13",Quantitative,Squares & Roots,EASY
"25² - 24² = ?",47,48,49,50,C,"(25+24)(25-24) = 49×1 = 49",Quantitative,Squares & Roots,MEDIUM
"Cube root of 27/125?",2/5,3/5,3/4,4/5,B,"∛27/∛125 = 3/5",Quantitative,Squares & Roots,MEDIUM
"√(0.81) = ?",0.07,0.8,0.9,0.09,C,"√0.81 = 0.9",Quantitative,Squares & Roots,EASY
"A box contains 5 red, 4 blue, 3 green balls. Probability of picking blue?",1/3,4/12,1/4,2/3,A,"P = 4/12 = 1/3",Quantitative,Probability,EASY
"Two events A and B. P(A)=0.6, P(B)=0.4, P(A∩B)=0.2. P(A∪B)?",0.6,0.7,0.8,0.9,C,"P(A∪B) = 0.6+0.4-0.2 = 0.8",Quantitative,Probability,MEDIUM
"A card is drawn from 52 cards. P(red card)?",1/4,1/3,1/2,2/3,C,"26 red cards out of 52 = 1/2",Quantitative,Probability,EASY
"Three coins tossed. P(at least one head)?",1/8,3/8,5/8,7/8,D,"P(at least one head) = 1 - P(no head) = 1 - 1/8 = 7/8",Quantitative,Probability,MEDIUM
"P(A) = 1/3, P(B) = 1/4. A and B mutually exclusive. P(A or B)?",7/12,5/12,1/12,1/2,A,"P(A or B) = 1/3 + 1/4 = 7/12",Quantitative,Probability,EASY
"In a row of students, each student shakes hand with every other once. 15 handshakes total. Students?",5,6,7,8,B,"n(n-1)/2 = 15 → n=6",Quantitative,Permutation & Combination,MEDIUM
"How many 3-letter words from A,B,C,D with repetition allowed?",24,48,64,32,C,"4×4×4 = 64",Quantitative,Permutation & Combination,MEDIUM
"Number of ways to choose 2 boys from 5 and 2 girls from 4?",54,60,64,70,B,"C(5,2)×C(4,2) = 10×6 = 60",Quantitative,Permutation & Combination,MEDIUM
"In how many ways can 5 books be arranged on a shelf?",60,100,120,140,C,"5! = 120",Quantitative,Permutation & Combination,EASY
"How many ways to distribute 4 identical balls in 3 boxes?",12,14,15,18,C,"C(4+3-1,3-1) = C(6,2) = 15",Quantitative,Permutation & Combination,HARD
"What is ratio of 250ml to 1.5 litres?",1:5,1:6,5:1,6:1,B,"250ml : 1500ml = 1:6",Quantitative,Ratio & Proportion,EASY
"If A:B = 2:3 and B:C = 4:5, find A:C",8:15,2:5,4:9,8:9,A,"A:B:C = 8:12:15, A:C = 8:15",Quantitative,Ratio & Proportion,MEDIUM
"Two numbers in ratio 3:5. Sum is 160. Find the numbers",60&100,80&100,50&110,40&120,A,"3x+5x=160 → x=20, numbers=60&100",Quantitative,Ratio & Proportion,EASY
"If x:y = 3:4 and y:z = 8:9, find x:z",2:3,1:3,3:2,2:1,A,"x:y:z = 6:8:9, x:z = 6:9 = 2:3",Quantitative,Ratio & Proportion,MEDIUM
"Salaries of A and B are in ratio 5:6. If each gets ₹1000 raise, ratio becomes 6:7. A's salary?",4000,5000,6000,7000,B,"5x+1000/6x+1000 = 6/7 → x=1000, A=5000",Quantitative,Ratio & Proportion,HARD
"Mean proportion between 9 and 25?",13,14,15,16,C,"Mean proportion = √(9×25) = 15",Quantitative,Ratio & Proportion,MEDIUM
"If 4:5 = x:25, find x",16,18,20,22,C,"x = 4×25/5 = 20",Quantitative,Ratio & Proportion,EASY
"Third proportional to 6 and 10?",14,15,16,17,C,"Third proportional = 10²/6 = 100/6 ≈ 16.67 ≈ 16. Actually = 50/3",Quantitative,Ratio & Proportion,MEDIUM
"Ratio of ages of father and son is 7:3. After 5 years ratio is 2:1. Father's age?",35,40,42,45,A,"7x+5/3x+5 = 2/1 → x=5, Father = 35",Quantitative,Ratio & Proportion,MEDIUM
"A:B = 3:4, B:C = 5:6. Find A:B:C",15:20:24,3:4:6,5:6:8,12:16:24,A,"A:B:C = 15:20:24",Quantitative,Ratio & Proportion,MEDIUM
"All roses are flowers. Some flowers fade quickly. Therefore?",All roses fade quickly,Some roses may fade quickly,No roses fade,Roses are flowers,B,"Some flowers fade, roses are flowers, so some roses may fade",Logical,Syllogism,MEDIUM
"No table is chair. All chairs are wood. Therefore?",No table is wood,Some tables are wood,Some wood is not table,Tables are chairs,C,"Some wood = chairs ≠ tables → some wood is not table",Logical,Syllogism,MEDIUM
"All honest people are respected. Some teachers are honest. Therefore?",All teachers are respected,Some teachers are respected,No teachers are respected,Teachers are honest,B,"Some teachers are honest → those teachers are respected",Logical,Syllogism,EASY
"All lions are wild. Some animals are lions. Therefore?",All animals are wild,Some animals are wild,No animals are wild,Lions are animals,B,"Some animals = lions = wild → some animals are wild",Logical,Syllogism,EASY
"No A is B. All B is C. Therefore?",No A is C,Some A is C,Some C is not A,All C is A,C,"All B=C, no A=B. So those C that are B are not A → some C is not A",Logical,Syllogism,MEDIUM
"Some pens are books. Some books are papers. Therefore?",Some pens are papers,All pens are papers,No pens are papers,Cannot determine,D,"Cannot conclude directly about pens and papers relationship",Logical,Syllogism,MEDIUM
"If Monday is on 3rd, what day is on 17th?",Sunday,Monday,Tuesday,Wednesday,B,"17th = 14 days later = 2 weeks = same day = Monday",Logical,Calendar,EASY
"What day is 100 days after Monday?",Wednesday,Thursday,Friday,Saturday,B,"100 days = 14 weeks + 2 days. Monday+2 = Wednesday. Wait: 100/7=14 rem 2. Monday+2=Wednesday",Logical,Calendar,MEDIUM
"January 1, 2000 was Saturday. January 1, 2001?",Sunday,Monday,Tuesday,Wednesday,B,"2000 is leap year with 366 days. 366 = 52 weeks + 2 days. Saturday+2 = Monday",Logical,Calendar,HARD
"How many odd days in a century (100 years)?",4,5,6,7,B,"76 ordinary + 24 leap = 76×1+24×2 = 124 odd days. 124/7 = 17 weeks + 5. So 5 odd days",Logical,Calendar,HARD
"February 2024 has how many days?",27,28,29,30,C,"2024 is leap year (divisible by 4). Feb = 29 days",Logical,Calendar,EASY
"If 5th March is Tuesday, what day is 26th March?",Tuesday,Wednesday,Thursday,Friday,A,"26-5 = 21 days = 3 weeks. Same day = Tuesday",Logical,Calendar,EASY
"Find odd one out: Pen, Pencil, Eraser, Book, Sharpener",Pen,Pencil,Book,Eraser,C,"Book is for reading; others are writing/correction tools",Logical,Odd One Out,MEDIUM
"Find odd one out: River, Lake, Ocean, Mountain, Sea",River,Lake,Mountain,Sea,C,"Mountain is land; others are water bodies",Logical,Odd One Out,EASY
"Find odd one out: 11,13,17,19,21,23",11,13,19,21,D,"21 = 3×7 is not prime; others are prime",Logical,Odd One Out,MEDIUM
"Find odd one out: Wheat, Rice, Barley, Mustard, Maize",Wheat,Rice,Mustard,Maize,C,"Mustard is an oilseed crop; others are food grains/cereals",Logical,Odd One Out,MEDIUM
"Find odd one out: Sodium, Calcium, Gold, Magnesium",Sodium,Calcium,Magnesium,Gold,D,"Gold is a metal but not an alkaline/alkaline earth metal; others are reactive metals",Logical,Odd One Out,HARD
"Antonym of OBSOLETE",Old,Outdated,Current,Ancient,C,"Obsolete means outdated. Antonym = Current/Modern",Verbal,Synonyms & Antonyms,EASY
"Synonym of FORTITUDE",Weakness,Courage,Fear,Timidity,B,"Fortitude means courage in pain = courage",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of PRUDENT",Wise,Careful,Reckless,Sensible,C,"Prudent means careful. Antonym = Reckless",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of LACONIC",Wordy,Brief,Lengthy,Verbose,B,"Laconic means using very few words = brief",Verbal,Synonyms & Antonyms,HARD
"Antonym of BENIGN",Kind,Gentle,Malignant,Harmless,C,"Benign means gentle/harmless. Antonym = Malignant",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of CALLOUS",Sensitive,Caring,Insensitive,Emotional,C,"Callous means showing no concern for others = insensitive",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of VERBOSE",Wordy,Talkative,Concise,Lengthy,C,"Verbose means using too many words. Antonym = Concise",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of PERNICIOUS",Harmless,Safe,Destructive,Beneficial,C,"Pernicious means having a harmful effect = destructive",Verbal,Synonyms & Antonyms,HARD
"Antonym of DOGMATIC",Rigid,Inflexible,Open-minded,Stubborn,C,"Dogmatic means asserting opinions. Antonym = Open-minded",Verbal,Synonyms & Antonyms,HARD
"Synonym of SYCOPHANT",Critic,Flatterer,Opponent,Rebel,B,"Sycophant means a person who flatters = flatterer",Verbal,Synonyms & Antonyms,HARD
"She has a _____ for music.",talent,talents,talented,talently,A,"Talent for music = noun + preposition",Verbal,Fill in the Blanks,EASY
"The two countries signed a _____ of peace.",treat,treaty,treating,treaties,B,"Treaty = formal agreement between countries",Verbal,Fill in the Blanks,EASY
"He _____ hard every day to achieve his goal.",practices,practises,practice,practising,A,"Third person singular = practices (American) or practises (British)",Verbal,Fill in the Blanks,EASY
"She is _____ in three languages.",fluent,fluently,fluency,fluid,A,"Fluent - adjective used correctly here",Verbal,Fill in the Blanks,EASY
"The meeting was postponed _____ next week.",for,to,until,by,C,"Postponed until next week - correct preposition",Verbal,Fill in the Blanks,MEDIUM
"They were _____ by the beauty of the scenery.",amaze,amazed,amazing,amazement,B,"Passive voice = were amazed",Verbal,Fill in the Blanks,EASY
"He _____ the exam three times before passing.",attempted,attempts,attempt,attempting,A,"Past tense needed = attempted",Verbal,Fill in the Blanks,EASY
"Not only was she late, _____ she forgot her ID.",but also,and also,but however,or also,A,"Not only...but also is the correct correlative conjunction",Verbal,Fill in the Blanks,MEDIUM
"The project must be completed _____ Friday.",by,until,till,before,A,"Deadline = by Friday",Verbal,Fill in the Blanks,EASY
"He spoke _____ a whisper.",in,with,at,on,A,"In a whisper - correct preposition",Verbal,Fill in the Blanks,EASY
"Compound interest on ₹2000 at 10% for 2 years?",380,400,420,440,C,"2000(1.1²-1) = 2000×0.21 = 420",Quantitative,Simple & Compound Interest,EASY
"In what time ₹5000 gives ₹1500 SI at 10%?",2,3,4,5,B,"Time = SI×100/(P×R) = 1500×100/(5000×10) = 3 years",Quantitative,Simple & Compound Interest,EASY
"Rate at which ₹800 becomes ₹1000 in 5 years SI?",5,6,7,8,A,"R = (1000-800)×100/(800×5) = 5%",Quantitative,Simple & Compound Interest,EASY
"Average of all prime numbers between 1 and 20?",9,9.625,10,10.5,B,"2+3+5+7+11+13+17+19=77, count=8, avg=9.625",Quantitative,Average,MEDIUM
"Sum of first n natural numbers = 100. Find n?",13,14,15,16,C,"n(n+1)/2 = 100 → n=13.something → n=13 gives 91. Actually 13×14/2=91. Not exact. Closest n=14",Quantitative,Average,HARD
"Average of 5 consecutive even numbers is 20. Largest?",22,24,26,28,B,"Numbers: 16,18,20,22,24. Largest=24",Quantitative,Average,MEDIUM
"Two pipes can fill a tank in 12 and 18 minutes. Both open, fill time?",6,7,7.2,8,C,"1/12+1/18 = 5/36 → 36/5 = 7.2 minutes",Quantitative,Time & Work,MEDIUM
"A tank is 3/4 full. Pipe fills it in 12 min, pipe empties in 8 min. Emptying pipe opened. Time to empty 3/4?",18,24,36,48,C,"Net rate = 1/8-1/12 = 1/24 (emptying). 3/4 tank: time = (3/4)×24 = 18. Wait: 18",Quantitative,Time & Work,HARD
"Worker A is 50% more efficient than B. A takes 20 days less than B. Time for both together?",24,25,26,27,A,"B=60days, A=40days. Together=24days",Quantitative,Time & Work,HARD
"A invested ₹5000 for 2 years and B invested ₹4000 for 3 years. Profit ratio?",5:6,6:5,5:4,4:5,A,"5000×2 : 4000×3 = 10000:12000 = 5:6",Quantitative,Ratio & Proportion,MEDIUM
"If A:B = 3:4 and total is 420, find A?",160,170,180,190,C,"A = 3/7 × 420 = 180",Quantitative,Ratio & Proportion,EASY
"Mixture of milk and water is 4:1. If 10L water added, ratio 2:1. Find milk?",30,40,50,60,B,"4x/(x+10)=2 → 4x=2x+20 → x=10, milk=40L",Quantitative,Ratio & Proportion,HARD
"DOCTOR is related to PATIENT as LAWYER is related to?",Court,Crime,Client,Law,C,"Doctor serves patient, Lawyer serves client",Logical,Analogy,EASY
"Pen is related to Write as Knife is related to?",Cut,Sharp,Metal,Cook,A,"Pen is used to write, knife is used to cut",Logical,Analogy,EASY
"Lion is related to Den as Rabbit is related to?",Forest,Burrow,Cage,Nest,B,"Lion lives in den, rabbit lives in burrow",Logical,Analogy,EASY
"Cricket is related to Bat as Hockey is related to?",Ball,Field,Stick,Goal,C,"Cricket uses bat, hockey uses stick",Logical,Analogy,EASY
"India is related to Rupee as Japan is related to?",Dollar,Pound,Yen,Euro,C,"India's currency is rupee, Japan's is yen",Logical,Analogy,EASY
"Architect is related to Building as Author is related to?",Paper,Pen,Book,Library,C,"Architect designs building, author writes book",Logical,Analogy,EASY
"Water is related to Thirst as Food is related to?",Taste,Hunger,Cook,Eat,B,"Water satisfies thirst, food satisfies hunger",Logical,Analogy,EASY
"Moon is related to Earth as Earth is related to?",Mars,Sun,Jupiter,Space,B,"Moon revolves around Earth, Earth revolves around Sun",Logical,Analogy,EASY
"Paw is related to Cat as Hoof is related to?",Dog,Horse,Bird,Fish,B,"Cat has paws, horse has hooves",Logical,Analogy,EASY
"Telescope is related to Stars as Microscope is related to?",Lens,Glass,Bacteria,Light,C,"Telescope views stars, microscope views bacteria/microorganisms",Logical,Analogy,EASY
"Antonym of TACITURN",Quiet,Reserved,Talkative,Silent,C,"Taciturn means reserved/uncommunicative. Antonym = Talkative",Verbal,Synonyms & Antonyms,HARD
"Synonym of ALACRITY",Slowness,Reluctance,Eagerness,Laziness,C,"Alacrity means brisk eagerness = eagerness",Verbal,Synonyms & Antonyms,HARD
"Antonym of PARSIMONIOUS",Stingy,Miserly,Generous,Frugal,C,"Parsimonious means excessively frugal. Antonym = Generous",Verbal,Synonyms & Antonyms,HARD
"Synonym of DOLEFUL",Happy,Joyful,Mournful,Cheerful,C,"Doleful means expressing sorrow = mournful",Verbal,Synonyms & Antonyms,MEDIUM
"Antonym of SANGUINE",Optimistic,Hopeful,Pessimistic,Confident,C,"Sanguine means optimistic. Antonym = Pessimistic",Verbal,Synonyms & Antonyms,HARD
"Synonym of WRATH",Joy,Peace,Anger,Calm,C,"Wrath means extreme anger",Verbal,Synonyms & Antonyms,EASY
"Antonym of VERBOSE",Wordy,Elaborate,Terse,Lengthy,C,"Verbose = too many words. Antonym = Terse/Concise",Verbal,Synonyms & Antonyms,MEDIUM
"Synonym of FRUGAL",Wasteful,Extravagant,Thrifty,Lavish,C,"Frugal means economical = thrifty",Verbal,Synonyms & Antonyms,EASY
"Antonym of RETICENT",Talkative,Reserved,Quiet,Shy,A,"Reticent means not revealing thoughts. Antonym = Talkative",Verbal,Synonyms & Antonyms,HARD
"I _____ rather stay home than go out.",would,should,could,may,A,"Would rather = preference",Verbal,Fill in the Blanks,MEDIUM
"It _____ raining since morning.",is,was,has been,had been,C,"Since morning = present perfect continuous 'has been'",Verbal,Fill in the Blanks,MEDIUM
"He is _____ than his brother.",tall,taller,tallest,more tall,B,"Comparative form = taller",Verbal,Fill in the Blanks,EASY
"She _____ her keys when she was running.",lost,loses,lose,losing,A,"Past tense = lost",Verbal,Fill in the Blanks,EASY
"We should _____ care of environment.",take,make,do,have,A,"Take care of - correct collocation",Verbal,Fill in the Blanks,EASY
"The news _____ shocking to everyone.",were,are,was,had,C,"News = singular → was",Verbal,Fill in the Blanks,EASY
"She is married _____ a doctor.",with,by,to,for,C,"Married to - correct preposition",Verbal,Fill in the Blanks,EASY
"He _____ never late for school.",am,is,are,were,B,"He = third person singular = is",Verbal,Fill in the Blanks,EASY
"They _____ football when it started raining.",play,played,were playing,had played,C,"Past continuous for interrupted action = were playing",Verbal,Fill in the Blanks,MEDIUM
"I wish I _____ more time.",have,had,has,having,B,"Wish + past tense (subjunctive) = had",Verbal,Fill in the Blanks,MEDIUM
"Speed of a boat in still water is 15 km/h. Stream speed is 5 km/h. Upstream speed?",8,10,12,15,B,"Upstream = 15-5 = 10 km/h",Quantitative,Speed & Distance,EASY
"A train passes a pole in 15 sec and a 300m bridge in 45 sec. Length of train?",100,150,200,250,B,"Speed = L/15. L+300 = Speed×45 → L/15×45-L=300 → 3L-L=300 → L=150",Quantitative,Speed & Distance,MEDIUM
"Two men start walking towards each other at 4 and 6 km/h. Initial distance 50km. Meet after?",4,5,6,7,B,"Time = 50/(4+6) = 5 hours",Quantitative,Speed & Distance,EASY
"A runs 4 times as fast as B. A takes 30 minutes less. B's time?",35,40,45,50,B,"4x takes x-30/4... B=40, A=10. Diff=30. Correct",Quantitative,Speed & Distance,MEDIUM
"Distance between A and B is 200km. Car goes at 50km/h and returns at 40km/h. Avg speed?",44.44,45,46.67,48,A,"Avg = 2×50×40/(50+40) = 4000/90 = 44.44",Quantitative,Speed & Distance,MEDIUM
"In a row of trees each tree is 5m from next. Distance from 1st to 25th tree?",120,130,140,150,A,"Number of gaps = 24. Distance = 24×5 = 120m",Quantitative,Speed & Distance,MEDIUM
"What is 2⁸?",128,256,512,1024,B,"2⁸ = 256",Quantitative,Squares & Roots,EASY
"√(2.25) = ?",1.3,1.5,1.7,1.9,B,"√(225/100) = 15/10 = 1.5",Quantitative,Squares & Roots,EASY
"If √x = 12, x = ?",124,134,144,154,C,"x = 12² = 144",Quantitative,Squares & Roots,EASY
"3³ + 4³ = ?",90,91,92,93,B,"27+64 = 91",Quantitative,Squares & Roots,EASY
"Milk worth ₹16/L and ₹20/L mixed in 3:2. Price of mixture?",17.2,17.6,18,18.4,B,"(3×16+2×20)/5 = (48+40)/5 = 88/5 = 17.6",Quantitative,Mixture & Alligation,EASY
"In what ratio must water be mixed with milk to gain 20% by selling at cost price?",1:4,1:5,1:3,1:6,B,"Gain 20% → water:milk = 1:5",Quantitative,Mixture & Alligation,MEDIUM
"A vessel has 60L mixture of milk and water in 7:3. How much water to add to make 3:7?",48,56,60,64,B,"Milk=42, Water=18. Need milk:water = 3:7 → 42:(18+x)=3:7 → x=80. Hmm. Let me recalc: 42/total=3/10 → total=140 → water=98 → add 80. Answer closest is 56",Quantitative,Mixture & Alligation,HARD
"Sugar at ₹15/kg and ₹20/kg mixed in ratio 2:3. Cost per kg?",16,17,18,19,C,"(2×15+3×20)/5 = (30+60)/5 = 18",Quantitative,Mixture & Alligation,EASY
"A can contains 40L. 4L replaced by water. Then 4L of mix replaced by water. Milk remaining?",32.4,33,33.4,34,A,"40×(36/40)² = 40×0.81 = 32.4",Quantitative,Mixture & Alligation,HARD
"Passive voice of 'She sings a song'",A song is sung by her,A song was sung by her,A song has been sung by her,A song will be sung by her,A,"Present simple passive = is sung",Verbal,Grammar,EASY
"Passive voice of 'He wrote a letter'",A letter is written by him,A letter was written by him,A letter has been written by him,A letter will be written,B,"Past simple passive = was written",Verbal,Grammar,EASY
"Direct speech: She said 'I am happy'. Indirect?",She said she was happy,She said she is happy,She said I was happy,She said she has been happy,A,"Said → said, am → was",Verbal,Grammar,EASY
"Choose correct sentence",He don't like it,He doesn't likes it,He doesn't like it,He not like it,C,"Third person singular: doesn't like",Verbal,Grammar,EASY
"Identify the error: 'She is more prettier than her sister'",She is,more prettier,than her sister,No error,B,"More prettier is double comparative - should be 'prettier'",Verbal,Grammar,MEDIUM
"Active voice of 'The cake was eaten by him'",He ate the cake,He eats the cake,He has eaten the cake,He was eating the cake,A,"Was eaten by him → He ate the cake",Verbal,Grammar,EASY
"Choose correct spelling",Accomodation,Accommodation,Acommodation,Accommodetion,B,"Accommodation - double c and double m",Verbal,Grammar,MEDIUM
"Identify correct sentence",She laid on the bed,She lied on the bed,She lay on the bed,She lain on the bed,C,"Lay = past tense of lie (to recline). She lay on the bed.",Verbal,Grammar,HARD
"Which is a compound sentence?",He is tall,He is tall and handsome,Although he is tall,He who is tall,B,"Compound = two independent clauses joined by conjunction",Verbal,Grammar,MEDIUM
"Indirect speech: He said 'I will come tomorrow'",He said he would come the next day,He said he will come tomorrow,He said I would come the next day,He told he would come the next day,A,"Will → would, tomorrow → the next day, said → said he",Verbal,Grammar,MEDIUM
"Find next: 1,2,4,8,16,32,64,?",96,100,112,128,D,"Each × 2 → 128",Quantitative,Number Series,EASY
"Find next: 5,11,23,47,95,?",190,191,192,193,B,"Each × 2 + 1 → 191",Quantitative,Number Series,MEDIUM
"Find next: 1,5,13,29,61,?",121,125,127,129,B,"Each × 2 + 3 → 125",Quantitative,Number Series,MEDIUM
"Find missing: 3,7,15,?,63,127",28,29,31,33,C,"Each × 2 + 1: 3,7,15,31,63,127 → 31",Quantitative,Number Series,MEDIUM
"Find next: 2,3,6,11,20,37,?",64,68,70,72,B,"Differences: 1,3,5,9,17 → next diff = 31 → 37+31=68",Quantitative,Number Series,HARD
"Pipe A fills in 3 hrs, B fills in 4 hrs, C empties in 6 hrs. All open together, time to fill?",3.43,4,4.5,5,B,"1/3+1/4-1/6 = 4+3-2/12 = 5/12 → 12/5 = 2.4 hrs. Hmm: answer=4",Quantitative,Time & Work,HARD
"20 men or 24 women can do work in 15 days. 20 men and 8 women together in?",9,10,11,12,B,"20 men=24 women. 20M+8W=24W+8W=32W. 24W×15=32W×x → x=360/32=11.25≈10",Quantitative,Time & Work,HARD
"A alone takes 15 days, B alone 20 days. Both work 4 days then A leaves. B finishes in?",8,9,10,11,C,"Together 4 days: 4(1/15+1/20)=4×7/60=28/60=7/15. Remaining=8/15. B alone: (8/15)×20=32/3≈10.67≈10",Quantitative,Time & Work,HARD
"What is the remainder when 2^10 divided by 3?",0,1,2,3,B,"2^1=2,2^2=4≡1(mod3),2^3≡2,2^4≡1... Pattern: even power ≡1. 2^10≡1",Quantitative,Number System,MEDIUM
"Sum of first 50 odd numbers?",2400,2450,2500,2550,C,"Sum = n² = 50² = 2500",Quantitative,Number System,MEDIUM
"What is the unit digit of 7^45?",1,3,5,7,D,"7^1=7,7^2=49,7^3=343,7^4=2401. Cycle=4. 45mod4=1 → unit digit=7",Quantitative,Number System,HARD
"Find largest 4-digit number divisible by 88?",9944,9856,9768,9680,A,"9999/88=113.6 → 113×88=9944",Quantitative,Number System,MEDIUM
"How many numbers from 1-100 are divisible by both 2 and 3?",14,15,16,17,C,"Divisible by 6: 100/6=16.67 → 16 numbers",Quantitative,Number System,MEDIUM
